,combination,Ag,Au,Co,Cr,Cu,Fe,Mo,Ni,Pd,Pt,Label,set_name,length
0,AgAu,1,1,0,0,0,0,0,0,0,0,High,Ag|Au,2
1,AgFe,1,0,0,0,0,1,0,0,0,0,Low,Ag|Fe,2
2,AgPd,1,0,0,0,0,0,0,0,1,0,High,Ag|Pd,2
8,AuCo,0,1,1,0,0,0,0,0,0,0,Low,Au|Co,2
9,AuNi,0,1,0,0,0,0,0,1,0,0,Low,Au|Ni,2
10,AuPt,0,1,0,0,0,0,0,0,0,1,High,Au|Pt,2
12,CoCu,0,0,1,0,1,0,0,0,0,0,Low,Co|Cu,2
14,CoNi,0,0,1,0,0,0,0,1,0,0,High,Co|Ni,2
15,CoPt,0,0,1,0,0,0,0,0,0,1,High,Co|Pt,2
17,CrFe,0,0,0,1,0,1,0,0,0,0,High,Cr|Fe,2
20,CrPt,0,0,0,1,0,0,0,0,0,1,Low,Cr|Pt,2
23,CuFe,0,0,0,0,1,1,0,0,0,0,Low,Cu|Fe,2
24,CuNi,0,0,0,0,1,0,0,1,0,0,High,Cu|Ni,2
25,CuPt,0,0,0,0,1,0,0,0,0,1,High,Cu|Pt,2
29,FePd,0,0,0,0,0,1,0,0,1,0,High,Fe|Pd,2
38,MoPd,0,0,0,0,0,0,1,0,1,0,Low,Mo|Pd,2
45,NiPt,0,0,0,0,0,0,0,1,0,1,High,Ni|Pt,2
59,AgCu,1,0,0,0,1,0,0,0,0,0,Low,Ag|Cu,2
60,AgNi,1,0,0,0,0,0,0,1,0,0,Low,Ag|Ni,2
61,AgPt,1,0,0,0,0,0,0,0,0,1,High,Ag|Pt,2
67,AuCu,0,1,0,0,1,0,0,0,0,0,High,Au|Cu,2
68,AuPd,0,1,0,0,0,0,0,0,1,0,High,Au|Pd,2
70,CoCr,0,0,1,1,0,0,0,0,0,0,Low,Co|Cr,2
72,CoMo,0,0,1,0,0,0,1,0,0,0,Low,Co|Mo,2
73,CoPd,0,0,1,0,0,0,0,0,1,0,High,Co|Pd,2
75,CrCu,0,0,0,1,1,0,0,0,0,0,Low,Cr|Cu,2
77,CrMo,0,0,0,1,0,0,1,0,0,0,High,Cr|Mo,2
78,CrNi,0,0,0,1,0,0,0,1,0,0,Low,Cr|Ni,2
83,CuPd,0,0,0,0,1,0,0,0,1,0,High,Cu|Pd,2
86,FeMo,0,0,0,0,0,1,1,0,0,0,High,Fe|Mo,2
87,FeNi,0,0,0,0,0,1,0,1,0,0,High,Fe|Ni,2
96,MoNi,0,0,0,0,0,0,1,1,0,0,Low,Mo|Ni,2
