,combination,Ag,Al,As,Au,Co,Cr,Cu,Fe,Hf,Ir,Mn,Mo,Nb,Ni,Os,Pd,Pt,Re,Rh,Ru,Si,Ta,Tc,Ti,V,W,Zr,Label,set_name,length
558,AgAlAuCo,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Ag|Al|Au|Co,4
559,AgAlAuNi,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Ag|Al|Au|Ni,4
560,AgAlCoCu,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Ag|Al|Co|Cu,4
561,AgAlCuMn,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Ag|Al|Cu|Mn,4
562,AgAlCuZr,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Low,Ag|Al|Cu|Zr,4
563,AgAuCoCr,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Ag|Au|Co|Cr,4
564,AgAuCoMo,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Ag|Au|Co|Mo,4
565,AgAuCoPt,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Low,Ag|Au|Co|Pt,4
566,AgAuCoRu,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Low,Ag|Au|Co|Ru,4
567,AgAuCuFe,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Ag|Au|Cu|Fe,4
568,AgAuCuPd,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,High,Ag|Au|Cu|Pd,4
