,combination,Ag,Al,As,Au,Co,Cr,Cu,Fe,Hf,Ir,Mn,Mo,Nb,Ni,Os,Pd,Pt,Re,Rh,Ru,Si,Ta,Tc,Ti,V,W,Zr,Label,set_name,length
1668,AlCrMoTiW,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,High,Al|Cr|Mo|Ti|W,5
1669,CrHfMoNbTa,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,High,Cr|Hf|Mo|Nb|Ta,5
1670,CrHfMoNbV,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Low,Cr|Hf|Mo|Nb|V,5
1671,CrHfMoNbZr,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,High,Cr|Hf|Mo|Nb|Zr,5
1672,CrHfMoTaV,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Low,Cr|Hf|Mo|Ta|V,5
1673,CrHfMoTaZr,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,High,Cr|Hf|Mo|Ta|Zr,5
1674,CrHfMoTiW,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,High,Cr|Hf|Mo|Ti|W,5
1675,CrHfMoVW,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,High,Cr|Hf|Mo|V|W,5
1676,CrHfMoWZr,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,High,Cr|Hf|Mo|W|Zr,5
1677,CrHfNbTaV,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Low,Cr|Hf|Nb|Ta|V,5
1678,CrHfNbTaZr,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Low,Cr|Hf|Nb|Ta|Zr,5
1679,CrHfNbTiW,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,High,Cr|Hf|Nb|Ti|W,5
1680,CrHfNbVW,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,High,Cr|Hf|Nb|V|W,5
1681,CrHfNbWZr,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,High,Cr|Hf|Nb|W|Zr,5
1682,CrHfTaTiW,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,High,Cr|Hf|Ta|Ti|W,5
1683,CrHfTaVW,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,High,Cr|Hf|Ta|V|W,5
1684,CrHfTaWZr,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,High,Cr|Hf|Ta|W|Zr,5
1685,CrHfTiVZr,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Low,Cr|Hf|Ti|V|Zr,5
1686,CrHfVWZr,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Low,Cr|Hf|V|W|Zr,5
1687,CrMoNbTaV,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,High,Cr|Mo|Nb|Ta|V,5
1688,CrMoNbTaZr,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Low,Cr|Mo|Nb|Ta|Zr,5
1689,CrMoNbTiW,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,High,Cr|Mo|Nb|Ti|W,5
1690,CrMoNbVW,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,High,Cr|Mo|Nb|V|W,5
1691,CrMoNbWZr,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Low,Cr|Mo|Nb|W|Zr,5
1692,CrMoTaTiW,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,High,Cr|Mo|Ta|Ti|W,5
1693,CrMoTaVW,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,High,Cr|Mo|Ta|V|W,5
1694,CrMoTaWZr,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,Low,Cr|Mo|Ta|W|Zr,5
1695,CrMoTiVZr,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Low,Cr|Mo|Ti|V|Zr,5
1696,CrMoVWZr,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Low,Cr|Mo|V|W|Zr,5
1697,CrNbTaTiW,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,High,Cr|Nb|Ta|Ti|W,5
1698,CrNbTaVW,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,High,Cr|Nb|Ta|V|W,5
1699,CrNbTaWZr,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,Low,Cr|Nb|Ta|W|Zr,5
1700,CrNbTiVZr,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Low,Cr|Nb|Ti|V|Zr,5
1701,CrNbVWZr,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Low,Cr|Nb|V|W|Zr,5
1702,CrTaTiVZr,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,Low,Cr|Ta|Ti|V|Zr,5
1703,CrTaVWZr,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Low,Cr|Ta|V|W|Zr,5
1704,HfMoNbTaTi,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,High,Hf|Mo|Nb|Ta|Ti,5
1705,HfMoNbTaW,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,High,Hf|Mo|Nb|Ta|W,5
1706,HfMoNbTiV,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,High,Hf|Mo|Nb|Ti|V,5
1707,HfMoNbTiZr,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,High,Hf|Mo|Nb|Ti|Zr,5
1708,HfMoNbVZr,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,High,Hf|Mo|Nb|V|Zr,5
1709,HfMoTaTiV,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,High,Hf|Mo|Ta|Ti|V,5
1710,HfMoTaTiZr,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,High,Hf|Mo|Ta|Ti|Zr,5
1711,HfMoTaVZr,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,High,Hf|Mo|Ta|V|Zr,5
1712,HfMoTiVW,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,High,Hf|Mo|Ti|V|W,5
1713,HfMoTiWZr,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,High,Hf|Mo|Ti|W|Zr,5
1714,HfNbTaTiV,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,High,Hf|Nb|Ta|Ti|V,5
